naziv,lokacija,placa_bruto,placa_neto,placa_po_dogovoru,prosta_mesta,trajanje,id,delovnik
BLAGAJNIK, KRANJ,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432297,IZMENSKO
POMOČ V STREŽBI, ČRNOMELJ,8.13  ,7.00  ,False,1,PO DOGOVORU,432405,PO DOGOVORU
ČIŠČENJE, MARIBOR TEZNO,7.50  ,6.45  ,False,2,PO DOGOVORU,432404,POPOLDAN
BLAGAJNIK, MEDVODE,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432197,IZMENSKO
BLAGAJNIK, MEDVODE,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432196,IZMENSKO
POMOČ PRI PRODAJI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432246,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA - ŠIŠKA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432344,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432343,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA GAMELJNE,8.00  ,6.88  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),432296,IZMENSKO
POMOČ PRI PRODAJI, KRANJ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432295,IZMENSKO
PRODAJA, LJUBLJANA BTC,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432403,IZMENSKO
DELO V LOGISTIKI, LJUBLJANA,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432195,IZMENSKO
POMOČ V TRGOVINI, MEDVODE,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432194,IZMENSKO
POMOČ PRI PRODAJI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432244,IZMENSKO
PRODAJA, LJUBLJANA,8.60  ,7.40  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),432342,DOPOLDAN
POMOČ V TRGOVINI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432294,IZMENSKO
DELO V DELAVNICI, SLOVENSKA BISTRICA,9.45  ,8.13  ,False,2,PO DOGOVORU,432402,DOPOLDAN
